lead_id,business_name,yelp_id,city,state,category,address,phone,website,yelp_rating,review_count,price_tier,is_claimed,hours_available,latitude,longitude,source,sourced_at,competitor_platforms,on_competitor_platform,social_media_score,has_website,google_rating,yelp_google_delta,enrichment_source,enriched_at,score,tier,score_visibility_gap,score_price_tier,score_deal_format_fit,score_operational_trust,score_rating_sweet_spot,score_review_velocity,score_geo_density,score_notes,rank,sdr_pitch
e72bb1d7f3,Serenity Massage Lounge,mock-atl-mas-005,Atlanta,GA,massage,"8201 South Congress, Atlanta, GA",+18129324811,https://www.serenitymassageloung.com,4.5,102,2,True,yes,33.66995655493546,-84.43816654535881,mock,2026-05-08T20:20:30.282775,ClassPass,True,4,True,4.7,0.2,mock_v1,2026-05-08T20:20:32.325899,83.2,A — High Priority,20.0,20.0,15.0,15.0,9.0,0.7,3.5,"{""visibility_gap"": ""20/20 (sweet spot)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""15/15 (single session, high perceived value)"", ""operational_trust"": ""15/15 (claimed + hours posted)"", ""rating_sweet_spot"": ""9/15 (high quality \u2014 may resist discounting)"", ""review_velocity_proxy"": ""1/10 (7% of category max (1450))"", ""geo_density_bonus"": ""4/5 (strong growth metro)""}",1,"Serenity Massage Lounge is a $$-tier massage and bodywork services business in Atlanta with 102 Yelp reviews at 4.5★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on ClassPass, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
48e742dbb6,Tip & Toe Studio,mock-chi-nai-003,Chicago,IL,nailsalons,"9335 South Congress, Chicago, IL",+14747496045,https://www.tipandtoestudio.com,4.0,67,2,True,yes,41.82198646955977,-87.64891520035052,mock,2026-05-08T20:20:30.281826,ClassPass,True,4,True,3.9,-0.1,mock_v1,2026-05-08T20:20:32.325498,82.5,A — High Priority,20.0,20.0,7.0,15.0,15.0,0.5,5.0,"{""visibility_gap"": ""20/20 (sweet spot)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""7/15 (commoditized, low AOV, harder to differentiate)"", ""operational_trust"": ""15/15 (claimed + hours posted)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""0/10 (5% of category max (1450))"", ""geo_density_bonus"": ""5/5 (Groupon HQ market \u2014 highest SDR priority)""}",2,"Tip & Toe Studio is a $$-tier nail care and spa services business in Chicago with 67 Yelp reviews at 4.0★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on ClassPass, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
8635bbda87,Luminary Aesthetics,mock-atl-ski-004,Atlanta,GA,skincare,"6232 Buckhead Loop, Atlanta, GA",+17453191184,https://www.luminaryaesthetics.com,4.5,311,2,True,yes,33.7040976331974,-84.4413213278749,mock,2026-05-08T20:20:30.282472,none,False,5,False,4.4,-0.1,mock_v1,2026-05-08T20:20:32.325772,80.6,A — High Priority,18.0,20.0,13.0,15.0,9.0,2.1,3.5,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""13/15 (facial packages, strong first-visit deal)"", ""operational_trust"": ""15/15 (claimed + hours posted)"", ""rating_sweet_spot"": ""9/15 (high quality \u2014 may resist discounting)"", ""review_velocity_proxy"": ""2/10 (21% of category max (1450))"", ""geo_density_bonus"": ""4/5 (strong growth metro)""}",3,"Luminary Aesthetics is a $$-tier facial and skincare treatments business in Atlanta with 311 Yelp reviews at 4.5★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're not yet active on deal platforms, representing an untapped channel — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
894b8e5c93,Deep Roots Bodywork,mock-atl-mas-002,Atlanta,GA,massage,"4685 6th St, Atlanta, GA",+16987675661,https://www.deeprootsbodywork.com,3.5,150,2,True,yes,33.70172057326698,-84.42002895684746,mock,2026-05-08T20:20:30.282666,none,False,3,False,3.2,-0.3,mock_v1,2026-05-08T20:20:32.325865,80.5,A — High Priority,20.0,20.0,15.0,15.0,6.0,1.0,3.5,"{""visibility_gap"": ""20/20 (sweet spot)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""15/15 (single session, high perceived value)"", ""operational_trust"": ""15/15 (claimed + hours posted)"", ""rating_sweet_spot"": ""6/15 (below average \u2014 caution)"", ""review_velocity_proxy"": ""1/10 (10% of category max (1450))"", ""geo_density_bonus"": ""4/5 (strong growth metro)""}",4,"Deep Roots Bodywork is a $$-tier massage and bodywork services business in Atlanta with 150 Yelp reviews at 3.5★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're not yet active on deal platforms, representing an untapped channel — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
480ee39d13,Cloud Nine Massage,mock-aus-mas-007,Austin,TX,massage,"6090 Navy Pier Blvd, Austin, TX",+18798764659,https://www.cloudninemassage.com,4.0,1450,2,True,yes,30.22087761814043,-97.82222858215364,mock,2026-05-08T20:20:30.284056,none,False,1,True,4.0,0.0,mock_v1,2026-05-08T20:20:32.326430,80.5,A — High Priority,3.0,20.0,15.0,15.0,15.0,10.0,2.5,"{""visibility_gap"": ""3/20 (dominant player \u2014 low Groupon motivation)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""15/15 (single session, high perceived value)"", ""operational_trust"": ""15/15 (claimed + hours posted)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""10/10 (100% of category max (1450))"", ""geo_density_bonus"": ""2/5 (emerging market)""}",5,"Cloud Nine Massage is a $$-tier massage and bodywork services business in Austin with 1450 Yelp reviews at 4.0★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're not yet active on deal platforms, representing an untapped channel — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
cd4df3dfda,The Massage Room,mock-atl-mas-003,Atlanta,GA,massage,"7805 Congress Ave, Atlanta, GA",+14307122411,https://www.themassageroom.com,4.0,204,3,True,yes,33.816564689415046,-84.40168578338577,mock,2026-05-08T20:20:30.282734,none,False,3,True,4.1,0.1,mock_v1,2026-05-08T20:20:32.325877,79.9,A — High Priority,18.0,12.0,15.0,15.0,15.0,1.4,3.5,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""12/20 ($$$ \u2014 viable with high AOV deals)"", ""deal_format_fit"": ""15/15 (single session, high perceived value)"", ""operational_trust"": ""15/15 (claimed + hours posted)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""1/10 (14% of category max (1450))"", ""geo_density_bonus"": ""4/5 (strong growth metro)""}",6,"The Massage Room is a $$$-tier massage and bodywork services business in Atlanta with 204 Yelp reviews at 4.0★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're not yet active on deal platforms, representing an untapped channel — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
ab6c0d82e8,Pure Radiance Studio,mock-aus-ski-001,Austin,TX,skincare,"2439 6th St, Austin, TX",+13446403477,https://www.pureradiancestudio.com,4.0,67,3,True,yes,30.31005337558355,-97.76701876111099,mock,2026-05-08T20:20:30.283541,ClassPass,True,5,True,3.9,-0.1,mock_v1,2026-05-08T20:20:32.326235,78.0,A — High Priority,20.0,12.0,13.0,15.0,15.0,0.5,2.5,"{""visibility_gap"": ""20/20 (sweet spot)"", ""price_tier_fit"": ""12/20 ($$$ \u2014 viable with high AOV deals)"", ""deal_format_fit"": ""13/15 (facial packages, strong first-visit deal)"", ""operational_trust"": ""15/15 (claimed + hours posted)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""0/10 (5% of category max (1450))"", ""geo_density_bonus"": ""2/5 (emerging market)""}",7,"Pure Radiance Studio is a $$$-tier facial and skincare treatments business in Austin with 67 Yelp reviews at 4.0★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on ClassPass, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
aa544f3c22,Crown & Glory Hair,mock-chi-hai-003,Chicago,IL,hair,"2676 6th St, Chicago, IL",+14100220672,https://www.crownandgloryhair.com,4.0,67,3,True,yes,41.879726574658775,-87.66056732328724,mock,2026-05-08T20:20:30.280107,none,False,5,False,4.4,0.4,mock_v1,2026-05-08T20:20:32.325127,77.5,A — High Priority,20.0,12.0,10.0,15.0,15.0,0.5,5.0,"{""visibility_gap"": ""20/20 (sweet spot)"", ""price_tier_fit"": ""12/20 ($$$ \u2014 viable with high AOV deals)"", ""deal_format_fit"": ""10/15 (good volume, moderate deal differentiation)"", ""operational_trust"": ""15/15 (claimed + hours posted)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""0/10 (5% of category max (1450))"", ""geo_density_bonus"": ""5/5 (Groupon HQ market \u2014 highest SDR priority)""}",8,"Crown & Glory Hair is a $$$-tier hair styling and salon services business in Chicago with 67 Yelp reviews at 4.0★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're not yet active on deal platforms, representing an untapped channel — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
6dc0b804ac,The Facial Room,mock-aus-ski-008,Austin,TX,skincare,"3738 South Congress, Austin, TX",+14877473514,https://www.thefacialroom.com,4.0,204,3,True,yes,30.19243561145229,-97.7586331294752,mock,2026-05-08T20:20:30.283762,none,False,4,True,3.7,-0.3,mock_v1,2026-05-08T20:20:32.326314,76.9,A — High Priority,18.0,12.0,13.0,15.0,15.0,1.4,2.5,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""12/20 ($$$ \u2014 viable with high AOV deals)"", ""deal_format_fit"": ""13/15 (facial packages, strong first-visit deal)"", ""operational_trust"": ""15/15 (claimed + hours posted)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""1/10 (14% of category max (1450))"", ""geo_density_bonus"": ""2/5 (emerging market)""}",9,"The Facial Room is a $$$-tier facial and skincare treatments business in Austin with 204 Yelp reviews at 4.0★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're not yet active on deal platforms, representing an untapped channel — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
cb162b7e25,Deep Roots Bodywork,mock-chi-mas-002,Chicago,IL,massage,"9166 Navy Pier Blvd, Chicago, IL",+15173929678,https://www.deeprootsbodywork.com,3.5,311,2,True,no,41.883791666834,-87.66104135161537,mock,2026-05-08T20:20:30.281386,ClassPass,True,4,True,3.3,-0.2,mock_v1,2026-05-08T20:20:32.325366,76.1,A — High Priority,18.0,20.0,15.0,10.0,6.0,2.1,5.0,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""15/15 (single session, high perceived value)"", ""operational_trust"": ""10/15 (claimed, no hours)"", ""rating_sweet_spot"": ""6/15 (below average \u2014 caution)"", ""review_velocity_proxy"": ""2/10 (21% of category max (1450))"", ""geo_density_bonus"": ""5/5 (Groupon HQ market \u2014 highest SDR priority)""}",10,"Deep Roots Bodywork is a $$-tier massage and bodywork services business in Chicago with 311 Yelp reviews at 3.5★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on ClassPass, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
