lead_id,business_name,yelp_id,city,state,category,address,phone,website,yelp_rating,review_count,price_tier,is_claimed,hours_available,latitude,longitude,source,sourced_at
37ea235540,HeadQuarter Salon,TotRsMNqKOdxdJap4DWSkQ,Chicago,IL,hair,"2145A S China Pl, Chicago, IL, 60616",+13128421353,https://www.yelp.com/biz/headquarter-salon-chicago?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.2,670,2,False,no,41.8539878069544,-87.6341105937958,yelp_fusion,2026-05-08T22:32:12.994527
fc448ace87,Twisted Scissors,8VQCLmth4y9l4v9CJDzH0g,Chicago,IL,hair,"3049 N Milwaukee Ave, Chicago, IL, 60618",+17732271077,https://www.yelp.com/biz/twisted-scissors-chicago?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.2,634,2,False,no,41.93665329606754,-87.71955930644576,yelp_fusion,2026-05-08T22:32:12.994586
ac1d75d081,Art + Science,QlcR3dRwm6m_I3Kh0Yj8ZA,Chicago,IL,hair,"1554 N Milwaukee Ave, Chicago, IL, 60622",+17732274247,https://www.yelp.com/biz/art-science-chicago-2?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.4,461,2,False,no,41.90961,-87.67653,yelp_fusion,2026-05-08T22:32:12.994600
3bf5b266f1,Barbara&Barbara,Yk8ij9nL3lBzGbSS8fJVXA,Chicago,IL,hair,"2925 W Diversey Ave, Chicago, IL, 60647",+17733846244,https://www.yelp.com/biz/barbara-and-barbara-chicago?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.3,420,2,False,no,41.9319271,-87.7011477,yelp_fusion,2026-05-08T22:32:12.994612
4913a65f38,Epoch Studio Salon - Chicago,ZrH004S6Zj7ve07R3YSVBw,Chicago,IL,hair,"1849 W N Ave, Chicago, IL, 60622",+13122241700,https://www.yelp.com/biz/epoch-studio-salon-chicago-3?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.8,388,2,False,no,41.9103673,-87.6745286,yelp_fusion,2026-05-08T22:32:12.994624
1c4c2c7c84,Fringe,3hQF4G6tqjU1i_LIPZF1MA,Chicago,IL,hair,"1656 W Cortland St, Chicago, IL, 60622",+17738621000,https://www.yelp.com/biz/fringe-chicago?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.3,371,2,False,no,41.916433025826414,-87.66998883291625,yelp_fusion,2026-05-08T22:32:12.994636
9be9d14a01,Edit Salon,F5w5miIWXpEmKMCO2japPA,Chicago,IL,hair,"1369 W Chicago Ave, Chicago, IL, 60642",+13127330123,https://www.yelp.com/biz/edit-salon-chicago?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.7,366,3,False,no,41.89591,-87.66202,yelp_fusion,2026-05-08T22:32:12.994648
2d802bfc2f,Marin Hair Co,sV-c-uKFkn5kL4pLA0hfUw,Chicago,IL,hair,"2500 N Calfornia Ave, Chicago, IL, 60647",+17736879990,https://www.yelp.com/biz/marin-hair-co-chicago-9?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.5,332,2,False,no,41.9267891,-87.6976469303653,yelp_fusion,2026-05-08T22:32:12.994660
b77f2e120a,Salon Glow Chicago,ND3V0EcVaVg0lWk47G5glA,Chicago,IL,hair,"2766 N Lincoln Ave, Chicago, IL, 60614",+17733277200,https://www.yelp.com/biz/salon-glow-chicago-chicago-3?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.7,318,2,False,no,41.9320752,-87.6582111,yelp_fusion,2026-05-08T22:32:12.994677
d640ad3270,Glowout,0cPS8RVzRDYKYPhZCFFi7A,Chicago,IL,hair,"216 S Jefferson St, Chicago, IL, 60661",+13126050905,https://www.yelp.com/biz/glowout-chicago-3?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.8,287,2,False,no,41.87868736693982,-87.64297047143675,yelp_fusion,2026-05-08T22:32:12.994689
