lead_id,business_name,yelp_id,city,state,category,address,phone,website,yelp_rating,review_count,price_tier,is_claimed,hours_available,latitude,longitude,source,sourced_at,competitor_platforms,on_competitor_platform,social_media_score,has_website,google_rating,yelp_google_delta,enrichment_source,enriched_at,score,tier,score_visibility_gap,score_price_tier,score_deal_format_fit,score_operational_trust,score_rating_sweet_spot,score_review_velocity,score_geo_density,score_notes,rank,sdr_pitch
bab2bd60f1,Enfuse Medical Spa,BTuZlJOwxrRBq2vP3ulzNA,Chicago,IL,skincare,"1645 W North Ave, Chicago, IL, 60622",+17739048310,https://www.yelp.com/biz/enfuse-medical-spa-chicago-2?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.3,272,2,False,no,41.9104365,-87.66942826994057,yelp_fusion,2026-05-08T22:32:13.866380,ClassPass|LivingSocial,True,3,True,4.5,0.2,mock_v1,2026-05-08T22:32:36.636449,76.9,A — High Priority,18.0,20.0,13.0,2.0,15.0,3.9,5.0,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""13/15 (facial packages, strong first-visit deal)"", ""operational_trust"": ""2/15 (unclaimed, no hours \u2014 SDR risk)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""4/10 (39% of category max (704))"", ""geo_density_bonus"": ""5/5 (Groupon HQ market \u2014 highest SDR priority)""}",1,"Enfuse Medical Spa is a $$-tier facial and skincare treatments business in Chicago with 272 Yelp reviews at 4.3★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on ClassPass|LivingSocial, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
f7c20e616b,Massage House,DtC1878pfn-yXWYwqk7-Ww,Chicago,IL,massage,"2405 N Clybourn Ave, Chicago, IL, 60614",+17734728888,https://www.yelp.com/biz/massage-house-chicago-2?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.1,259,2,False,no,41.92544,-87.66932,yelp_fusion,2026-05-08T22:32:15.038371,none,False,1,True,4.0,-0.1,mock_v1,2026-05-08T22:32:36.636676,76.9,A — High Priority,18.0,20.0,15.0,2.0,15.0,1.9,5.0,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""15/15 (single session, high perceived value)"", ""operational_trust"": ""2/15 (unclaimed, no hours \u2014 SDR risk)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""2/10 (19% of category max (1397))"", ""geo_density_bonus"": ""5/5 (Groupon HQ market \u2014 highest SDR priority)""}",2,"Massage House is a $$-tier massage and bodywork services business in Chicago with 259 Yelp reviews at 4.1★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're not yet active on deal platforms, representing an untapped channel — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
2306d43665,Chicago Touch,HdXcSuzqegKZjqVuUnVg9A,Chicago,IL,massage,"1335 W Lake St, Chicago, IL, 60607",+13129293083,https://www.yelp.com/biz/chicago-touch-chicago?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.1,215,2,False,no,41.88516,-87.660406,yelp_fusion,2026-05-08T22:32:15.038385,ClassPass|LivingSocial,True,5,True,4.1,0.0,mock_v1,2026-05-08T22:32:36.636691,76.5,A — High Priority,18.0,20.0,15.0,2.0,15.0,1.5,5.0,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""15/15 (single session, high perceived value)"", ""operational_trust"": ""2/15 (unclaimed, no hours \u2014 SDR risk)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""2/10 (15% of category max (1397))"", ""geo_density_bonus"": ""5/5 (Groupon HQ market \u2014 highest SDR priority)""}",3,"Chicago Touch is a $$-tier massage and bodywork services business in Chicago with 215 Yelp reviews at 4.1★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on ClassPass|LivingSocial, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
bce790b790,Lenox Massage & Spa,TyVHqCGaNJxSuiD-JNjsow,Atlanta,GA,massage,"2770 Lenox Rd NE, Atlanta, GA, 30324",+14046003180,https://www.yelp.com/biz/lenox-massage-and-spa-atlanta-2?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.2,127,2,False,no,33.83038163443141,-84.35654014534796,yelp_fusion,2026-05-08T22:32:18.942525,LivingSocial,True,3,False,4.3,0.1,mock_v1,2026-05-08T22:32:36.637259,76.4,A — High Priority,20.0,20.0,15.0,2.0,15.0,0.9,3.5,"{""visibility_gap"": ""20/20 (sweet spot)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""15/15 (single session, high perceived value)"", ""operational_trust"": ""2/15 (unclaimed, no hours \u2014 SDR risk)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""1/10 (9% of category max (1397))"", ""geo_density_bonus"": ""4/5 (strong growth metro)""}",4,"Lenox Massage & Spa is a $$-tier massage and bodywork services business in Atlanta with 127 Yelp reviews at 4.2★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on LivingSocial, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
d79672ffcb,Luminere Esthetics & Wellness,uvPCqh9UXeDshWwgxuBZkw,Chicago,IL,skincare,"3248 N Sheffield Ave, Chicago, IL, 60657",+12244202784,https://www.yelp.com/biz/luminere-esthetics-and-wellness-chicago-4?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.2,231,2,False,no,41.94135,-87.65446,yelp_fusion,2026-05-08T22:32:13.866393,ClassPass,True,3,True,4.0,-0.2,mock_v1,2026-05-08T22:32:36.636464,76.3,A — High Priority,18.0,20.0,13.0,2.0,15.0,3.3,5.0,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""13/15 (facial packages, strong first-visit deal)"", ""operational_trust"": ""2/15 (unclaimed, no hours \u2014 SDR risk)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""3/10 (33% of category max (704))"", ""geo_density_bonus"": ""5/5 (Groupon HQ market \u2014 highest SDR priority)""}",5,"Luminere Esthetics & Wellness is a $$-tier facial and skincare treatments business in Chicago with 231 Yelp reviews at 4.2★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on ClassPass, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
b816591a28,Li's Massage,qTRLcQAApXko4xavvAd7zg,Atlanta,GA,massage,"1985 Howell Mill Rd, Atlanta, GA, 30318",+14044585933,https://www.yelp.com/biz/lis-massage-atlanta?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,3.8,85,2,False,no,33.8088733961738,-84.412726610899,yelp_fusion,2026-05-08T22:32:18.942552,ClassPass,True,1,False,3.4,-0.4,mock_v1,2026-05-08T22:32:36.637289,76.1,A — High Priority,20.0,20.0,15.0,2.0,15.0,0.6,3.5,"{""visibility_gap"": ""20/20 (sweet spot)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""15/15 (single session, high perceived value)"", ""operational_trust"": ""2/15 (unclaimed, no hours \u2014 SDR risk)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""1/10 (6% of category max (1397))"", ""geo_density_bonus"": ""4/5 (strong growth metro)""}",6,"Li's Massage is a $$-tier massage and bodywork services business in Atlanta with 85 Yelp reviews at 3.8★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on ClassPass, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
acef68fcb5,LeHua Spa,K-fSnewO-9LwgM9XV5eMdA,Atlanta,GA,massage,"2980 Cobb Pkwy SE, Atlanta, GA, 30339",+17704388888,https://www.yelp.com/biz/lehua-spa-atlanta?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.3,347,2,False,no,33.879879203678,-84.4622649730164,yelp_fusion,2026-05-08T22:32:18.942412,ClassPass,True,2,True,4.6,0.3,mock_v1,2026-05-08T22:32:36.637186,76.0,A — High Priority,18.0,20.0,15.0,2.0,15.0,2.5,3.5,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""15/15 (single session, high perceived value)"", ""operational_trust"": ""2/15 (unclaimed, no hours \u2014 SDR risk)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""2/10 (25% of category max (1397))"", ""geo_density_bonus"": ""4/5 (strong growth metro)""}",7,"LeHua Spa is a $$-tier massage and bodywork services business in Atlanta with 347 Yelp reviews at 4.3★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on ClassPass, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
fac3b6204f,SpaDerma,dJHGAHb5lUFPpy9gL8LSgQ,Chicago,IL,skincare,"1048 W Madison St, Chicago, IL, 60607",+17737708855,https://www.yelp.com/biz/spaderma-chicago-9?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.4,165,2,False,no,41.88190766534336,-87.65408122325262,yelp_fusion,2026-05-08T22:32:13.866405,ClassPass,True,3,False,4.1,-0.3,mock_v1,2026-05-08T22:32:36.636479,75.3,A — High Priority,18.0,20.0,13.0,2.0,15.0,2.3,5.0,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""13/15 (facial packages, strong first-visit deal)"", ""operational_trust"": ""2/15 (unclaimed, no hours \u2014 SDR risk)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""2/10 (23% of category max (704))"", ""geo_density_bonus"": ""5/5 (Groupon HQ market \u2014 highest SDR priority)""}",8,"SpaDerma is a $$-tier facial and skincare treatments business in Chicago with 165 Yelp reviews at 4.4★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on ClassPass, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
8628999ab0,Leah Chavie Skincare Boutique,F_Rwr6zqcLYVKG1gLsTnYw,Chicago,IL,skincare,"2457 N Halsted, Chicago, IL, 60614",+17733277051,https://www.yelp.com/biz/leah-chavie-skincare-boutique-chicago?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.1,153,2,False,no,41.92711,-87.64859,yelp_fusion,2026-05-08T22:32:13.866434,Gilt City,True,5,True,4.4,0.3,mock_v1,2026-05-08T22:32:36.636508,75.2,A — High Priority,18.0,20.0,13.0,2.0,15.0,2.2,5.0,"{""visibility_gap"": ""18/20 (well-established)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""13/15 (facial packages, strong first-visit deal)"", ""operational_trust"": ""2/15 (unclaimed, no hours \u2014 SDR risk)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""2/10 (22% of category max (704))"", ""geo_density_bonus"": ""5/5 (Groupon HQ market \u2014 highest SDR priority)""}",9,"Leah Chavie Skincare Boutique is a $$-tier facial and skincare treatments business in Chicago with 153 Yelp reviews at 4.1★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on Gilt City, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
5f7069a6ab,Lumi Vita,fOmYVA_fzpS3-4PsESUlFg,Atlanta,GA,skincare,"2385 Peachtree Rd, Atlanta, GA, 30305",+14048697722,https://www.yelp.com/biz/lumi-vita-atlanta-5?adjust_creative=5d0WN3-0MJTogXUsavz_Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5d0WN3-0MJTogXUsavz_Qg,4.4,116,2,False,no,33.81986,-84.38769,yelp_fusion,2026-05-08T22:32:18.006701,LivingSocial,True,1,True,4.4,0.0,mock_v1,2026-05-08T22:32:36.637068,75.1,A — High Priority,20.0,20.0,13.0,2.0,15.0,1.6,3.5,"{""visibility_gap"": ""20/20 (sweet spot)"", ""price_tier_fit"": ""20/20 ($$ \u2014 ideal sweet spot)"", ""deal_format_fit"": ""13/15 (facial packages, strong first-visit deal)"", ""operational_trust"": ""2/15 (unclaimed, no hours \u2014 SDR risk)"", ""rating_sweet_spot"": ""15/15 (sweet spot \u2014 good quality, not bougie)"", ""review_velocity_proxy"": ""2/10 (16% of category max (704))"", ""geo_density_bonus"": ""4/5 (strong growth metro)""}",10,"Lumi Vita is a $$-tier facial and skincare treatments business in Atlanta with 116 Yelp reviews at 4.4★ — putting them squarely in Groupon's sweet spot: established enough to fulfill deal volume, not so dominant they don't need customer acquisition help. They're already on LivingSocial, which tells us they're comfortable with deal platforms — a Groupon deal could drive meaningful first-visit traffic while their rating is strong enough to convert those first-timers into repeat customers at full price."
